timestamp,connected_clients,cpu_percent,memory_mb,throughput_msgs_per_sec,avg_delay_ms
15:28:05,2,0.0,21.15,0,
15:28:06,2,0.0,21.15,0,
15:28:07,2,0.0,21.17,3,
15:28:08,3,0.0,21.18,0,
15:28:09,3,0.0,21.18,0,
15:28:10,3,0.0,21.18,0,
15:28:11,3,0.0,21.18,0,
15:28:12,3,0.0,21.18,0,
15:28:13,3,0.0,21.18,0,
15:28:14,3,0.0,21.18,0,
15:28:15,3,1.0,21.18,0,
15:28:16,3,0.0,21.18,0,
15:28:17,3,0.0,21.18,0,0.47
15:28:18,3,0.0,21.18,0,
15:28:19,3,0.0,21.18,0,
15:28:20,3,0.0,21.18,0,
15:28:21,3,0.0,21.18,0,
15:28:22,3,0.0,21.2,4,
15:28:23,4,0.0,21.2,0,
15:28:24,4,0.0,21.2,0,
15:28:25,4,0.0,21.2,0,
15:28:26,4,0.0,21.2,0,
15:28:27,4,0.0,21.2,0,
15:28:28,4,0.0,21.2,0,
15:28:29,4,0.0,21.2,0,
15:28:30,4,1.0,21.2,0,
15:28:31,4,0.0,21.2,0,
15:28:32,4,0.0,21.2,0,2.26
15:28:33,4,0.0,21.2,0,
15:28:34,4,0.0,21.2,0,
15:28:35,4,0.0,21.22,5,
15:28:36,5,0.0,21.22,0,
15:28:37,5,0.0,21.22,0,
15:28:38,5,0.0,21.22,0,
15:28:39,5,0.0,21.22,0,
15:28:40,5,0.0,21.22,0,
15:28:41,5,0.0,21.22,0,
15:28:42,5,0.0,21.22,0,
15:28:43,5,0.0,21.22,0,
15:28:44,5,0.0,21.22,0,
15:28:45,5,1.0,21.22,0,
15:28:46,5,0.0,21.22,0,
15:28:47,5,0.0,21.23,0,1.56
15:28:48,5,0.0,21.23,0,
15:28:49,5,0.0,21.23,0,
15:28:50,5,0.0,21.23,0,
15:28:51,5,0.0,21.26,6,
15:28:52,6,0.0,21.26,0,
15:28:53,6,0.0,21.26,0,
15:28:54,6,0.0,21.26,0,
15:28:55,6,0.0,21.26,0,
15:28:56,6,0.0,21.26,0,
15:28:57,6,0.0,21.26,0,
15:28:58,6,0.0,21.26,0,
15:28:59,6,0.0,21.26,0,
15:29:00,6,0.0,21.26,0,
15:29:01,6,0.0,21.26,0,
15:29:02,6,0.0,21.26,0,1.84
15:29:03,6,0.0,21.28,0,
15:29:04,6,0.0,21.28,0,
15:29:05,6,0.0,21.28,0,
15:29:06,6,0.0,21.28,0,
15:29:07,6,0.0,21.28,0,
15:29:08,6,0.0,21.28,0,
15:29:09,6,0.0,21.28,0,
15:29:10,6,0.0,21.29,7,
15:29:11,7,0.0,21.29,0,
15:29:12,7,0.0,21.29,0,
15:29:13,7,0.0,21.29,0,
15:29:14,7,0.0,21.29,0,
15:29:15,7,0.0,21.29,0,
15:29:16,7,0.0,21.29,0,
15:29:17,7,0.0,21.29,0,0.73
15:29:18,7,0.0,21.29,0,
15:29:19,7,0.0,21.29,0,
15:29:20,7,0.0,21.29,0,
15:29:21,7,0.0,21.29,0,
15:29:22,7,0.0,21.29,0,
15:29:23,7,0.0,21.29,0,
15:29:24,7,0.0,21.29,0,
15:29:25,7,0.0,21.29,0,
15:29:26,7,0.0,21.29,0,
15:29:27,7,0.0,21.29,0,
15:29:28,7,0.0,21.29,0,
15:29:29,7,0.0,21.29,0,
15:29:30,7,0.0,21.29,0,
15:29:31,7,0.0,21.29,0,
15:29:32,7,0.0,21.29,0,1.9
15:29:33,7,0.0,21.29,0,
15:29:34,7,0.0,21.29,0,
15:29:35,7,0.0,21.29,0,
15:29:36,7,0.0,21.29,0,
15:29:37,7,0.0,21.32,8,
15:29:38,8,0.0,21.32,0,
15:29:39,8,0.0,21.32,0,
15:29:40,8,0.0,21.32,0,
15:29:41,8,0.0,21.32,0,
15:29:42,8,0.0,21.32,0,
15:29:43,8,0.0,21.32,0,
15:29:44,8,0.0,21.32,0,
15:29:45,8,0.0,21.32,0,
15:29:46,8,0.0,21.32,0,
15:29:47,8,1.0,21.32,0,0.94
15:29:48,8,0.0,21.32,0,
15:29:49,8,0.0,21.32,0,
15:29:50,8,0.0,21.34,9,
15:29:51,9,0.0,21.34,0,
15:29:52,9,0.0,21.34,0,
15:29:53,9,0.0,21.34,0,
15:29:54,9,0.0,21.34,0,
15:29:55,9,0.0,21.34,0,
15:29:56,9,0.0,21.34,0,
15:29:57,9,0.0,21.34,0,
15:29:58,9,0.0,21.34,0,
15:29:59,9,0.0,21.34,0,
15:30:00,9,0.0,21.34,0,
15:30:01,9,0.0,21.34,0,
15:30:02,9,0.0,21.34,0,2.98
15:30:03,9,0.0,21.34,0,
15:30:04,9,0.0,21.37,1,
15:30:05,10,0.0,21.37,9,
15:30:06,10,1.0,21.37,0,
15:30:07,10,0.0,21.38,1,
15:30:08,10,0.0,21.38,0,
15:30:09,10,0.0,21.38,0,
15:30:10,10,0.0,21.38,0,
15:30:11,10,0.0,21.38,0,
15:30:12,10,0.0,21.38,1,
15:30:13,10,0.0,21.38,0,
15:30:14,10,0.0,21.38,0,
15:30:15,10,0.0,21.38,0,
15:30:16,10,0.0,21.39,1,
15:30:17,10,0.0,21.39,0,1.43
15:30:18,10,0.0,21.39,0,
15:30:19,10,0.0,21.39,0,
15:30:20,10,0.0,21.39,0,
15:30:21,10,0.0,21.39,1,
15:30:22,10,0.0,21.39,0,
15:30:23,10,0.0,21.39,0,
15:30:24,10,0.0,21.39,0,
15:30:25,10,0.0,21.39,10,
15:30:26,9,0.0,21.39,0,
15:30:27,9,0.0,21.39,0,
15:30:28,9,0.0,21.4,11,
15:30:29,10,0.0,21.4,0,
15:30:30,10,0.0,21.4,0,
15:30:31,10,0.0,21.4,0,
15:30:32,10,1.0,21.4,0,1.72
15:30:33,10,0.0,21.4,0,
15:30:34,10,0.0,21.4,0,
15:30:35,10,0.0,21.4,0,
15:30:36,10,0.0,21.4,0,
15:30:37,10,0.0,21.4,0,
15:30:38,10,0.0,21.4,1,
15:30:39,10,0.0,21.4,0,
15:30:40,10,0.0,21.4,0,
15:30:41,10,0.0,21.4,0,
15:30:42,10,1.0,21.4,0,
15:30:43,10,0.0,21.4,0,
15:30:44,10,0.0,21.41,1,
15:30:45,10,0.0,21.41,0,
15:30:46,10,0.0,21.41,0,
15:30:47,10,0.0,21.41,0,1.66
15:30:48,10,0.0,21.41,1,
15:30:49,10,0.0,21.41,0,
15:30:50,10,0.0,21.41,0,
15:30:51,10,1.0,21.41,0,
